,Title,Published_date,Views,Likes,Comments,Month
147,Don't Buy My Course..,2020-08-21,7335,358,146,Aug
148,How a Subscriber Landed a Data Analyst Job in Less Than a Year (Ray Ojel) - KNN EP. 09,2020-08-19,29096,1115,166,Aug
149,Reviewing Your Projects - Episode 16 (Project Review for Beginners),2020-08-17,3235,128,40,Aug
150,Data Scientist Dismantles the YouTube Algorithm.,2020-08-14,6311,537,108,Aug
151,Sports Analytics & Streaming Data Science on Twitch (Nick Wan) - KNN EP. 08,2020-08-12,4971,183,39,Aug
152,Reviewing Your Data Science Projects - Episode 15 (Quant Finance),2020-08-10,12164,383,53,Aug
153,The Plagiarism Problem in Data Science,2020-08-07,13047,629,145,Aug
154,Interview with the Director of AI Research @ NVIDIA (Anima Anandkumar) - KNN EP. 07,2020-08-05,14397,602,89,Aug
155,Reviewing Your Data Science Projects - Episode 14 [Deep Learning Focus],2020-08-03,4906,188,56,Aug
156,My First Data Science Contracting Side-Gig (How I Did It),2020-07-31,11389,580,90,Jul
157,Do You Have a Data Science Mentor? (@Danny Ma) - KNN EP. 06,2020-07-30,2316,116,34,Jul
158,Reviewing Your Data Science Projects - Episode 13 (BONUS LinkedIn Review),2020-07-27,5597,251,112,Jul
159,Building a Deep Learning BEAST (NVIDIA TITAN RTX + RYZEN 3900X),2020-07-24,8212,246,199,Jul
160,Is it Important to Share Your Data Science Work? (Ft. Eric Weber),2020-07-22,1855,98,27,Jul
161,Reviewing Your Data Science Resumes - Episode 12 (3 Different Resumes!),2020-07-20,29020,564,90,Jul
162,Beginner Kaggle Data Science Project Walk-Through (Titanic),2020-07-17,326291,7258,423,Jul
163,Uber Driver to Machine Learning Engineer in 9 Months! (@Daniel Bourke) - KNN EP. 05,2020-07-16,30275,1124,121,Jul
164,Reviewing Your Data Science Projects - Episode 11(GITHUB CLEANING),2020-07-13,3623,135,50,Jul
165,The Best Computer for Data Science Beginners,2020-07-10,37923,853,157,Jul
166,Should You Major in Data Science? (Jaemin Lee) - KNN EP. 04,2020-07-08,6167,231,82,Jul
167,Critiquing MY OWN Data Science Resume,2020-07-06,12632,397,88,Jul
168,Where to Start Learning Data Science,2020-07-03,18739,783,126,Jul
169,"Data Science Productivity, Motivation, and Organization (ft. Data Professor & Codebasics)",2020-07-01,4134,198,37,Jul
170,Reviewing Your Data Science Projects - Episode 10 (Leveraging Your Data),2020-06-29,4582,176,52,Jun
171,How to Get a Data Science Job at FAANG (@Data Science Jay) - KNN EP. 03,2020-06-26,16295,551,79,Jun
172,Reviewing Your Data Science Projects - Episode 9 (Professional Violinist),2020-06-22,2411,82,40,Jun
173,"Ken Jee Q & A Live Stream (50,000 Sub Special!)",2020-06-20,2386,139,49,Jun
174,Reviewing Your Data Science Projects - Episode 8 (College Student Help),2020-06-15,4353,169,46,Jun
175,Why You're Struggling to Learn Data Science,2020-06-12,15244,1011,159,Jun
176,Reviewing Your Data Science Projects - Episode 7 (Incredible Portfolio Website),2020-06-08,11676,357,70,Jun
177,The State of Data Science with Krish Naik & The Data Professor [Panel Discussion],2020-06-05,23833,686,146,Jun
178,Reviewing Your Data Science Projects - Episode 6 (Only 3 months of coding experience),2020-06-01,5703,154,53,Jun
179,How to Build a Data Science Portfolio Website with Hugo & Github Pages [feat. Data Professor],2020-05-29,71987,2186,268,May
180,Reviewing Your Data Science Projects - Episode 5 (Very Detailed Project),2020-05-25,20969,489,81,May
181,Different Data Science Roles Explained (by a Data Scientist),2020-05-22,54975,1956,178,May
182,Reviewing Your Data Science Projects - Episode 4 (Resume & Github),2020-05-18,11240,178,53,May
183,How to Make A Data Science Portfolio Website with Github Pages,2020-05-15,128537,4394,193,May
184,10000 Subscriber and 100th Video Special (Data Science),2020-05-13,3099,147,115,May
185,Reviewing Your Data Science Projects - Episode 3 (Student Portfolio),2020-05-11,4510,153,74,May
186,How I Would Learn Data Science (If I Had to Start Over),2020-05-08,1393880,49023,1996,May
187,Reviewing Your Data Science Projects - Episode 2 (Resume and Portfolio),2020-05-04,5528,196,42,May
188,What You Need to Know for a Data Science Internship,2020-05-01,21923,1203,60,May
189,Reviewing Your Data Science Projects - Episode 1 (Exploratory Analysis),2020-04-27,8349,349,54,Apr
190,What It's Like to be a Socially Distanced Data Scientist (A Day in the Life),2020-04-24,14979,459,103,Apr
191,Data Science in Sports - Talk for Northwestern (Kellogg) MBA Students,2020-04-22,3116,85,24,Apr
192,5 Tips for Crushing the Work From Home Life,2020-04-20,5414,203,38,Apr
193,Data Science Project from Scratch - Part 7 (Documenting Your Work),2020-04-17,21295,739,129,Apr
194,Data Science Project from Scratch -  Part 6 (Putting the Model into Production),2020-04-15,29216,729,98,Apr
